paper_id,Criteria met,Justification
282,IN,The study explicitly quantifies resilience via a Resilience Index (RI = 1 − γ) within an exposure-sensitivity-resilience framework and computes RI and EVI using Equations (1)–(5).
852,IN,The Methods explicitly compute a resilience index (Rs = Gpost/Gprev) along with resistance and recovery indices and report resilience results in the Results/Discussion.
242,IN,"The study explicitly computes drought resilience components (resistance, recovery, resilience, relative resilience) using Lloret et al. (2011) indices with given equations (2–5) and reports quantitative results comparing organs, stages, and drought events."
36,IN,The study explicitly quantifies ecosystem resilience via an Ecosystem Resilience Index (ERI) with a mathematical formula (ERI = Σ Ai×RCi) and incorporates it into the computed Ecosystem Health Index (EHI = EVI×EOI×ERI×ESI).
97,IN,"The study quantitatively computes stochastic population growth rate (λS) and the mean/CV of annual growth rates (λt) via explicit stochastic matrix model equations and simulations, framing demographic buffering/variance reduction as a mechanism of resilience."
1,IN,"The study explicitly quantifies ecosystem resilience (ER) within a Vigor-Organization-Resilience framework using the formula ER = Σ(Ai×RCi) and reports resilience results (e.g., Table 8)."
207,OUT,"Resilience is only discussed conceptually (e.g., “potential resilience effects” and “may be interpreted as structural resilience”) without any explicit resilience metric, proxy statement, or mathematical method to compute resilience."
264,IN,"The Methods explicitly define and compute ecological network resilience via equations (24–25) using quantified robustness and redundancy indices (16, 23) and report resilience results and shock-simulation changes."
202,IN,"The study explicitly quantifies resilience using rmax as a stated proxy for resilience, provides equations for estimating rmax in the latent biomass model, and reports calculated resilience values (e.g., daily maximum percent biomass increase)."
167,IN,The paper explicitly states that functional evenness (FEve) is used as a proxy for community resilience and quantitatively computes FEve (via dbFD) and compares it across community types.
81,IN,The study explicitly quantifies ecological resilience using a defined ER index (ERI) with formulas (1)–(3) and computes spatiotemporal ER results for 2000–2020.
17,IN,"The study explicitly quantifies resilience using the ARx model by defining resilience as the absolute value of coefficient α in Eq.(1), normalizing it to a [0,1] resilience index, and reporting spatial results."
419,IN,"The study explicitly quantifies resilience via measured components (resistance, heterogeneity, recovery) and provides mathematical recovery calculations using a logistic model (Eq. 1) and derived recovery time expression (Eq. 2) with computed results."
