Abstract_ID,Title,Year,Journal,Keywords.author,Abstract,Review,Eco.Quantify,Abiotic,Human,Include?
1402,Trajectories of zooplankton recovery in the little rock lake whole-lake acidification experiment,2006,ECOLOGICAL APPLICATIONS,acidification; biological resistance; pH stress; recovery; resilience; whole-lake experiment; zooplankton,"Understanding the factors that affect biological recovery from environmental stressors such as acidification is an important challenge in ecology. Here we report on zooplankton community recovery following the experimental acidification of Little Rock Lake, Wisconsin, USA. One decade following cessation of acid additions to the northern basin of Little Rock Lake (LRL), recovery of the zooplankton community was complete. Approximately 40% of zooplankton species in the lake exhibited a recovery lag in which biological recovery to reference basin levels was delayed by 1-6 yr after pH recovered to the level at which the species originally responded. Delays in recovery such as those we observed in LRL may be attributable to biological resistance wherein establishment of viable populations of key acid-sensitive species following water quality improvements is prevented by other components of the community that thrived during acidification. Indeed, we observed that the recovery of species that thrived during acidification tended to precede recovery of species that declined during acidification. In addition, correspondence analysis indicated that the zooplankton community followed different pathways during acidification and recovery, suggesting that there is substantial hysteresis in zooplankton recovery from acidification. By providing an example of a relatively rapid recovery from short-term acidification, zooplankton community recovery from experimental acidification in LRL generally reinforces the positive outlook for recovery reported for other acidified lakes.",NO,YES,NO,NO,yes
922,Organic farming and heterogeneous landscapes positively affect different measures of plant diversity,2014,JOURNAL OF APPLIED ECOLOGY,agriculture; agroecosystem; functional diversity; functional trait; insurance; intensification; phylogenetic; redundancy; resilience; stability,"Increasing landscape heterogeneity and organic farming practices are known to enhance species richness in agroecosystems. However, little is known about the consequences of these management options on other biodiversity components such as community composition, phylogenetic structure and functional diversity which may be more closely linked to ecosystem functioning. We surveyed semi-natural plant communities within the uncultivated field margins of 18 arable farms in Skane, south Sweden. We investigated how taxonomic, phylogenetic and functional diversity responds to landscape heterogeneity (presence of semi-natural habitat) and farm management intensity (organic vs. conventional farming). Plant species richness and functional diversity metrics all responded positively to landscape heterogeneity, with the strongest effect occurring on conventional farms. Community composition differed with farm management, and mean phylogenetic relatedness, an indicator of phylogenetic structure, was significantly higher on the field margins of organic compared to conventional farms. Individual plant functional groups themselves responded in unique ways to land management and landscape heterogeneity.Synthesis and applications. Management strategies that promote the conservation of heterogeneous landscapes (i.e. a higher proportion of semi-natural habitats) and organic farm management practices are important for maintaining plant phylogenetic, functional and taxonomic diversity in agroecosystems. Accommodating various forms of diversity is important to ensure that ecosystems have the greatest possible array of species ecologies'. Such measures will help to improve the capacity of these ecosystems to provide multiple ecosystem functions, including the sustaining and regulating services of benefit to people. Management strategies that promote the conservation of heterogeneous landscapes (i.e. a higher proportion of semi-natural habitats) and organic farm management practices are important for maintaining plant phylogenetic, functional and taxonomic diversity in agroecosystems. Accommodating various forms of diversity is important to ensure that ecosystems have the greatest possible array of species ecologies'. Such measures will help to improve the capacity of these ecosystems to provide multiple ecosystem functions, including the sustaining and regulating services of benefit to people.",NO,YES,NO,NO,yes
576,Trophic redundancy and predator size class structure drive differences in kelp forest ecosystem dynamics,2020,ECOLOGY,California sheephead; California spiny lobster; kelp forest; linear mixed effects models; managing for resilience; phase shifts; predator guilds; sea star wasting disease; size class structure; sunflower sea star; trophic redundancy; urchin barrens,"Ecosystems are changing at alarming rates because of climate change and a wide variety of other anthropogenic stressors. These stressors have the potential to cause phase shifts to less productive ecosystems. A major challenge for ecologists is to identify ecosystem attributes that enhance resilience and can buffer systems from shifts to less desirable alternative states. In this study, we used the Northern Channel Islands, California, as a model kelp forest ecosystem that had been perturbed from the loss of an important sea star predator due to a sea star wasting disease. To determine the mechanisms that prevent phase shifts from productive kelp forests to less productive urchin barrens, we compared pre- and postdisease predator assemblages as predictors of purple urchin densities. We found that prior to the onset of the disease outbreak, the sunflower sea star exerted strong predation pressures and was able to suppress purple urchin populations effectively. After the disease outbreak, which functionally extirpated the sunflower star, we found that the ecosystem response-urchin and algal abundances-depended on the abundance and/or size of remaining predator species. Inside Marine Protected Areas (MPAs), the large numbers and sizes of other urchin predators suppressed purple urchin populations resulting in kelp and understory algal growth. Outside of the MPAs, where these alternative urchin predators are fished, less abundant, and smaller, urchin populations grew dramatically in the absence of sunflower stars resulting in less kelp at these locations. Our results demonstrate that protected trophic redundancy inside MPAs creates a net of stability that could limit kelp forest ecosystem phase shifts to less desirable, alternative states when perturbed. This highlights the importance of harboring diversity and managing predator guilds.",NO,YES,NO,NO,yes
2069,Research on the spatial zoning and driving factors of ecosystem service bundles and human well-being in China,2025,ECOLOGICAL INDICATORS,Ecosystem service value; Sustainable development goals; Spatial zoning; Differentiated spatial governance,"Incorporating ecosystem service bundles (ESBs) into socioecological management strategies can contribute to the achievement of sustainable development goals (SDGs) and increase human well-being (HWB). Exploring the spatial zoning of ESBs and HWB and their driving factors is important for supporting the sustainable development planning of prefecture-level cities in China. The ecosystem services (ESs) and HWB at the prefecture level in China were evaluated using the value method and the SDGs, and the ESBs were subsequently identified through the Gaussian mixture model (GMM). On this basis, the spatial partitioning of ESB-HWB was carried out using the self-organizing map (SOM) method, and the main driving factors affecting the spatial partitioning were revealed using the XGBoost-SHAP model. The results were as follows: (1) During the study period, the value of the ES equivalent factor in China increased from 692 CNY/hm2 to 724 CNY/hm2. The high-value areas of ESs are distributed mainly in the southern hills, the northeastern forest areas, and the southwestern Qinghai-Tibet Plateau region, while the low-value areas are concentrated in the eastern plains and the northwestern arid regions. Four ESBs were identified through the GMM, and they have significant spatial differentiation, including the multifunctional comprehensive cluster, the agriculture-dominated cluster, the water source prominent cluster, and the regulation core cluster. The human well-being index increased from 0.206 to 0.472, showing a distribution pattern of higher values in the east and lower values in the west, but the regional differences significantly improved during the study period. (2) Six regions were identified through the SOM based on the relationship between the ESBs and HWB, including the regulating core-medium well-being-volatility zone, the agricultural provision-high wellbeing stability zone, the multifunctional-high wellbeing ultrastability zone, the multifunctional-super wellbeing optimization zone, the hydrological scarcity-low wellbeing sensitivity zone, and the multifunctional-hyper resilience wellbeing zone. (3) The results of XGBoost-SHAP revealed the differential impacts of different factors on the results of the six types of spatial partitions, but it was generally found that human activity index, per capita GDP, and average annual precipitation were the main factors affecting the spatial partition. Therefore, when considering both the ecosystem and the sustainable development goals, targeted spatial management strategies need to be formulated based on the differentiated partitioning of ESB-HWB to promote the development of China's social ecosystem and the achievement of the SDGs.",NO,YES,NO,NO,yes
1844,Climate change could amplify weak synchrony in large marine ecosystems,2025,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,synchrony; environmental gradients; time- delay embedding; empirical dynamic models; spatial dynamics,"Climate change is increasing the frequency of large- scale, extreme environmental events and flattening environmental gradients. Whether such changes will cause spatially synchronous, large- scale population declines depends on mechanisms that limit metapopulation synchrony, thereby promoting rescue effects and stability. Using long- term data and empirical dynamic models, we quantified spatial heterogeneity in density dependence, spatial heterogeneity in environmental responses, and environmental gradients to assess their role in inhibiting synchrony across 36 marine fish and invertebrate species. Overall, spatial heterogeneity in population dynamics was as important as environmental drivers in explaining population variation. This heterogeneity leads to weak synchrony in the California Current Ecosystem, where populations exhibit diverse responses to shared, large- scale environmental change. In contrast, in the Northeast U.S. Shelf Ecosystem, gradients in average environmental conditions among locations, filtered through nonlinear environmental response curves, limit synchrony. Simulations predict that environmental gradients and response diversity will continue to inhibit synchrony even if large- scale environmental extremes become common. However, if environmental gradients weaken, synchrony and periods of large- scale population decline may rise sharply among commercially important species on the Northeast Shelf. Our approach thus allows ecologists to 1) quantify how differences among local communities underpin landscape- scale resilience and 2) identify the kinds of future climatic changes most likely to amplify synchrony and erode species stability.",NO,YES,NO,NO,yes
1861,Vimentin intermediate filaments and filamentous actin form unexpected interpenetrating networks that redefine the cell cortex,2022,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,interpenetrating networks of F-actin and vimentin intermediate filaments; cell cortex; high-resolution imaging; traction force microscopy,"The cytoskeleton of eukaryotic cells is primarily composed of networks of filamentous proteins, F-actin, microtubules, and intermediate filaments. Interactions among the cytoskeletal components are important in determining cell structure and in regulating cell functions. For example, F-actin and microtubules work together to control cell shape and polarity, while the subcellular organization and transport of vimentin intermediate filament (VIF) networks depend on their interactions with microtubules. However, it is generally thought that F-actin and VIF5 form two coexisting but separate networks that are independent due to observed differences in their spatial distribution and functions. In this paper, we present a closer investigation of both the structural and functional interplay between the F-actin and VIF cytoskeletal networks. We characterize the structure of VIF5 and F-actin networks within the cell cortex using structured illumination microscopy and cryoelectron tomography. We find that VIF5 and F-actin form an interpenetrating network (IPN) with interactions at multiple length scales, and VIF5 are integral components of F-actin stress fibers. From measurements of recovery of cell contractility after transient stretching, we find that the IPN structure results in enhanced contractile forces and contributes to cell resilience. Studies of reconstituted networks and dynamic measurements in cells suggest direct and specific associations between VIF5 and F-actin. From these results, we conclude that VIF5 and F-actin work synergistically, both in their structure and in their function. These results profoundly alter our understanding of the contributions of the components of the cytoskeleton, particularly the interactions between intermediate filaments and F-actin.",NO,NO,NO,NO,no
1125,The resilience of calcareous and mesotrophic grasslands following disturbance,2005,JOURNAL OF APPLIED ECOLOGY,CCA; habitat disturbance; military training; Salisbury Plain Training Area; succession; tracked vehicles,"1. Understanding habitat disturbance and recovery is vital for successful conservation management and restoration, particularly of subseral communities with high nature conservation interest and sites subject to unavoidable disturbance pressures, such as that arising from access and recreational activities. 2. Grassland resilience was investigated on the Salisbury Plain Training Area (SPTA) in southern England, the largest of the UK military training areas. SPTA contains the greatest expanse of unimproved chalk grassland in north-west Europe, a habitat of particular nature conservation interest. 3. Historical aerial photographs were used to identify 82 calcareous and mesotrophic grassland sites disturbed over a 50-year time period. Vegetation, soils and seed bank data were collected from each old disturbance site. Revegetation time periods following disturbance were compared, and habitat resilience following disturbance investigated using the succession of surface vegetation along the chronosequence, the combined changes of vegetation and soil chemistry, and finally vegetation and seed bank composition. 4. The sampled calcareous grasslands were less resilient following disturbance than the mesotrophic grasslands, with slower colonization of bare ground and target species re-assembly. The mesotrophic grasslands typically took between 30 and 40 years to re-establish following disturbance, whereas calcareous grasslands took at least 50 years. 5. Even after such long time periods, there remained subtle but significant differences between the vegetation composition of the disturbed and undisturbed swards. Perennial forb species, particularly hemicryptophytes, persisted at higher frequencies in swards disturbed 50 years ago than in undisturbed swards. 6. Synthesis and applications. Prediction of habitat resilience following disturbance is dependent on which components of the system are investigated. However, data such as that presented here can help land managers understand how palimpsests of current habitat characteristics may have evolved, and how disturbance regimes may be managed in the future. It is likely that the resilience of grasslands such as those on SPTA may have been overestimated, and perceptions of habitat carrying capacity for disturbance events may require re-evaluation.",NO,YES,NO,NO,yes
1212,Forest resilience and tipping points at different spatio-temporal scales: Approaches and challenges,2015,Journal of Ecology, CO <sub>2</sub>; Climate change; Drought; Environmental change; Mortality; Plant-climate interactions; Regime shifts; Review; Spatio-temporal scales; Vulnerability,"Summary: Anthropogenic global change compromises forest resilience, with profound impacts to ecosystem functions and services. This synthesis paper reflects on the current understanding of forest resilience and potential tipping points under environmental change and explores challenges to assessing responses using experiments, observations and models. Forests are changing over a wide range of spatio-temporal scales, but it is often unclear whether these changes reduce resilience or represent a tipping point. Tipping points may arise from interactions across scales, as processes such as climate change, land-use change, invasive species or deforestation gradually erode resilience and increase vulnerability to extreme events. Studies covering interactions across different spatio-temporal scales are needed to further our understanding. Combinations of experiments, observations and process-based models could improve our ability to project forest resilience and tipping points under global change. We discuss uncertainties in changing CO2 concentration and quantifying tree mortality as examples. Synthesis. As forests change at various scales, it is increasingly important to understand whether and how such changes lead to reduced resilience and potential tipping points. Understanding the mechanisms underlying forest resilience and tipping points would help in assessing risks to ecosystems and presents opportunities for ecosystem restoration and sustainable forest management. As forests change at various scales, it is increasingly important to understand whether and how such changes lead to reduced resilience and potential tipping points. Understanding the mechanisms underlying forest resilience and tipping points would help in assessing risks to ecosystems and presents opportunities for ecosystem restoration and sustainable forest management. © 2015 British Ecological Society.",YES,NO,NO,NO,no
1273,Foundation species loss alters algal community structure and dynamics at a trailing range edge,2025,JOURNAL OF ECOLOGY,climate change; competition; kelp forest; rocky reef; species range shifts,"Foundation species are the basis of entire ecosystems and are increasingly threatened by climate change. At trailing edges, population loss can be rapid as extreme warming events can exceed physiological thresholds, causing local extinctions where recruitment cannot sustain recovery. Whilst such losses can be projected, the impacts on remaining communities and potential recovery are difficult to predict, which limits our anticipatory power. Here, we simulated the decline and loss of a cold-adapted marine foundation species (the kelp Laminaria digitata) at two trailing-edge sites, characterised by varying levels of wave exposure and L. digitata dominance. We first exposed macroalgal communities to a pulse disturbance (complete canopy removal) and then tracked trajectories of secondary succession for 2.5 years, under manipulated levels of recruitment (0%, 50% and 100% removal). Background recruitment (0% removal) resulted in the development of assemblages similar to pre-disturbance levels, indicating a high degree of stability/resilience within the system. However, with increasing L. digitata removal, this resilience was lost, which led to decreased standing stock biomass of canopy-formers/understorey algae and clear shifts in assemblage structure. Wave-exposed conditions caused a complete shift to a short-lived opportunistic species, which provided less stable and favourable habitat and supported distinct communities. Sheltered conditions caused more complex shifts towards multiple alternative canopy-formers. Synthesis. These findings show the indirect effects of climate-driven population loss, through changes in ecological interactions such as competition, can propagate through entire communities. Given kelp underpin the wider temperate reef food web, this will likely have serious knock-on consequences at the ecosystem level.",NO,YES,NO,NO,yes
1056,Fire-induced taxonomic and functional changes in saproxylic beetle communities in fire sensitive regions,2010,ECOGRAPHY,,"It is often suggested that fire acts as an environmental filter that selects species and functional traits, and reduces trait variability within communities, affecting ecosystem function and underlying services. This may be particularly important in fire-sensitive ecosystems, such as the central European Alps, where fires are scarce. According to climate and land use change scenarios in Europe, fire risk will increase during the next decades, raising important questions about the maintenance of ecological and functional resilience in these regions. We used two families of saproxylic beetles (i.e. Cerambycidae and Buprestidae) as model group to test the combined effect of fire and altitude on species and trait composition in the central Alps of Switzerland. Trait response was based on weighted means and variation of 15 traits over the communities. Our results showed an overall positive effect of fire on taxonomic and functional diversity, while indicator species and community analyses revealed that the response to fire was also modulated by altitude. The positive effect of fire and the presence of large populations of pyrophilous species suggest co-evolution with fire and adaptation to disturbance in the Alps. Biodiversity in the central Alps might thus be more resilient to fire than expected. In the light of climatic and land use changes, forest management and species conservation in the central Alps have to consider fire one of the major disruptive factors that have shaped and will shape species composition and ecosystem services.",NO,YES,NO,NO,yes
