paper_id,Criteria met,Justification
282,IN,The study explicitly quantifies resilience via a Resilience Index (RI = 1 − γ) within an exposure-sensitivity-resilience framework and computes RI (and EVI) from an autoregressive model (Eqs. 1–5) with reported results.
852,IN,The Methods explicitly compute a resilience index (Rs = Gpost/Gprev) and related resistance/recovery indices from basal area increment before/during/after the 1985–1986 drought and report resilience results.
242,IN,"The study explicitly quantifies drought resilience using Lloret et al. (2011) resilience components (Rt, Rc, Rs, RRs) with provided equations and calculated results for stems and roots across drought events and forest stages."
36,IN,The study explicitly quantifies resilience by computing an Ecosystem Resilience Index (ERI) with a stated formula (ERI = Σ Ai×RCi) and reports ERI results within a Vigor-Organization-Resilience-Stress (VORS) ecosystem health framework.
97,OUT,"Although resilience is mentioned conceptually, the quantitative analysis computes demographic variance buffering and stochastic growth rates (e.g., λS, CV of λt) without explicitly defining or calculating any variable as resilience or a stated proxy for resilience."
1,IN,The study explicitly quantifies ecosystem resilience (ER) within a VOR framework using the formula ER = Σ(Ai × RCi) and reports resilience values for 2012 and 2022.
207,OUT,"Although resilience is mentioned (e.g., “potential resilience effects” and “may be interpreted as structural resilience”), the study does not define or compute a resilience metric/index or explicitly state any measured variable is a proxy for resilience."
264,IN,"The study explicitly quantifies ecological network resilience by defining and calculating robustness and redundancy indices and then computing resilience via equations (24–25), reporting resilience results and shock-simulation changes."
202,IN,"The study explicitly quantifies resilience using rmax as a stated proxy for resilience, provides equations for estimating rmax, and reports calculated resilience values (e.g., daily maximum percent increase in biomass (ermax−1)×100 ranging 5–42%)."
167,IN,The paper explicitly treats functional evenness (FEve) as a proxy for community resilience and quantitatively computes and compares FEve across community types and landscape gradients.
81,IN,The study explicitly quantifies ecological resilience using a defined ER index (ERI) with a mathematical formula (Eq. 2) and computes spatiotemporal ER results.
17,IN,"The study explicitly quantifies ecosystem resilience (and resistance) using ARx model coefficients (e.g., α as resilience) and computes normalized resilience/resistance indices and a hydro-resistance index with reported spatial results."
419,IN,"The study explicitly quantifies ecological resilience by measuring resistance, heterogeneity, and recovery from Hurricane Maria, including a logistic recovery model with equations and calculated recovery times."
35,IN,The study explicitly quantifies vegetation resilience as the posterior mean of negative lag-1 autocorrelation of MODIS EVI estimated via a Bayesian dynamic linear model (equations 1–6) and reports resilience trends and changes before/after LCC and fires.
86,OUT,"Although resilience is mentioned conceptually, the study quantifies stem/biomass dynamics and liana–tree ratios but does not explicitly define or compute any resilience metric or proxy as resilience."
24,OUT,"Although “resilience” is mentioned (e.g., keywords/discussion), the study quantitatively analyzes plant/soil responses to burning and inoculation without defining, computing, or using any explicit resilience metric or stated proxy for resilience."
132,OUT,"Although resilience is discussed (for example, “reduced resilience” and TNC as an “indicator”), the study does not explicitly define or compute a quantitative resilience metric/index or state that any measured variable is a proxy for resilience."
1125,IN,"The paper explicitly defines resilience as the time required to return to pre-disturbance state and quantitatively estimates it using computed similarity/regeneration indices (e.g., Sørensen similarity and a regeneration index) plotted against time since disturbance to derive recovery/resilience periods."
157,OUT,"Although “resilience” is mentioned conceptually, the quantitative analysis computes ecological risk, connectivity (IIC/PC), and network robustness rather than an explicit resilience metric or stated proxy for resilience."
212,IN,"The Methods explicitly quantify resilience using defined indices (RT, RC, RS) plus TGR, RE, and ARR and compare observed resistance–recovery to a “line of full resilience” (resilience=1), with results reported for 1974 vs 1997."
117,IN,"The study explicitly defines resilience as recovery of photosynthesis after drought and quantitatively computes resistance, recovery, and resilience using stated formulas based on Pmax measured pre-drought, end-drought, and post-recovery."
95,OUT,"Although resilience is mentioned conceptually (e.g., “reduce the resilience of remnant populations”), the study quantitatively analyzes fecundity, hatching, development, and survivorship without defining or computing any resilience metric or explicit proxy for resilience."
114,OUT,"Resilience is only mentioned conceptually (e.g., “assessing forest resilience”) and no resilience metric/proxy is explicitly defined or quantitatively computed."
48,OUT,"Although “ecological resilience” is mentioned conceptually, the quantitative analysis only computes landscape ecological risk indices, resistance surfaces, connectivity, and MCR/gravity metrics without defining or calculating resilience (or an explicit proxy) as a measured variable."
1075,OUT,"Although resilience is discussed conceptually, the quantitative analysis measures canopy “recovery” (difference in % cover before vs after) without explicitly defining it as resilience or a proxy for resilience."
715,OUT,"Although resilience is discussed conceptually, the quantitative analysis computes z-scores, coefficients of variation, and calcification capacity to identify “oases” rather than explicitly measuring or using any variable as resilience or a stated proxy for resilience."
62,IN,The study explicitly quantifies ecosystem resilience (ER) within the VORS ecosystem health framework using a defined equation for a resilience coefficient (RCi) with assigned land-use resilience values and reports resilience results.
171,OUT,"Although “resilience” is mentioned conceptually, the study quantifies dispersal and beak/wing trait shifts after flooding but does not define, compute, or use any resilience metric/proxy in its quantitative analyses."
101,OUT,"Although the paper mentions “drought resilience” conceptually for microbial biomass, it quantitatively analyzes decomposition (kN) and Tea Bag Index parameters (ki, S) without explicitly defining or using them as resilience/proxies for resilience or computing any resilience metric."
126,IN,"The study explicitly quantifies resilience to extreme climatic events using a defined formula (Equation 3) based on ANPP in non-ECE, ECE, and post-ECE years and analyzes its effects on ANPP stability."
214,IN,"The study explicitly quantifies demographic resilience by calculating transient metrics of resistance, compensation, and recovery (e.g., first-step/maximal attenuation, reactivity/maximal amplification, damping ratio, period of oscillation) from matrix population models and analyzes these results."
238,OUT,"Although “resilience” is mentioned conceptually (e.g., species richness as “therefore resilience”), the quantitative analysis only computes species richness/propagule input via explicit equations and does not quantify resilience or an explicit proxy stated as such."
124,IN,The study quantitatively defines and computes network “restore robustness” as resilience (Eqs. 5–6) and reports resilience-related robustness results before and after optimization.
1084,IN,The study explicitly quantifies “physiological resilience” to heat shock and desiccation using recovery of PSII maximum quantum yield (Fv/Fm) after stress treatments and reports statistical results comparing resilience across populations.
1189,IN,"The study explicitly quantifies ecological resilience and invasion resistance by assigning numeric R&R indicator classes (1–10) to climate regimes and mapping/analyzing changes and relationships (e.g., cheatgrass cover, burn probabilities) using these computed indicators."
163,OUT,The paper quantifies temporal stability (inverse CV) and pollinator synchrony/asynchrony (Loreau & de Mazancourt index) but does not explicitly define or compute resilience (or a stated proxy for resilience) in its quantitative analysis.
191,IN,The study explicitly quantifies resilience by calculating RLDC and RSDC (ratios of LVP/SVP to degraded patch coverage) from UAV images “to measure the resilience of various patches” and analyzes these metrics statistically.
187,OUT,"Although resilience is mentioned conceptually (for example, “suggesting strong functional resilience” and “consistent with community-level resilience”), the study does not explicitly compute or use a quantitative resilience index/metric as part of its analysis."
9,OUT,"Resilience is only mentioned conceptually (e.g., “stable and resilient state”) and no resilience metric/proxy is explicitly defined or quantitatively computed as resilience in the analysis."
153,IN,The study explicitly defines resilience as the ability to restore steady state after disturbance and quantitatively computes it using the NDVI change-trend (Slope) with significance testing to identify “resilience patches” used in analysis.
226,IN,"The study explicitly evaluates forest resilience by quantitatively comparing equilibrium tree densities and extirpation thresholds across fire regimes, using equilibrium density (computed from simulations) as a proxy for fitness/resilience outcomes."
137,IN,"The study explicitly quantifies resilience as the VORS model component R (ecosystem resilience), assigns numerical resilience values by land use (Table 2), and uses it in the ecosystem health index formula EHI = (V×O×R×S)^(1/4) to compute results."
1117,IN,"The paper explicitly defines and computes an operational index of short-term retrospective resilience as 1/¯D (inverse of median absolute NDVI change intensity) for each habitat scale domain and reports the resulting resilience estimates (e.g., Table 6)."
42,IN,"The study explicitly quantifies ecological resilience via a defined ecological resilience index (ERI) with equations (e.g., ERIt=(ECO+NPP)/2 and ERIa=(ECO+Ws+Wt+(1−Chl-a))/4) and uses it in the vulnerability framework (EVI=ESI+(1−ERI))."
92,OUT,"Although resilience is mentioned conceptually (e.g., soil seed bank as important for vegetation resilience), the study only quantifies seed bank/vegetation metrics and similarity (Sorensen Js) without explicitly defining or calculating resilience or a stated proxy for resilience."
84,IN,"The study explicitly calculates drought resilience indices (Rt, Rc, Rs, RelRs, recovery period, total growth reduction, recovery rate) following Lloret et al. (2011) for the 2005 and 2012 droughts and reports results comparing species and sites."
112,IN,The study explicitly quantifies tourism socio-ecological system resilience (TSESR) by constructing an index and calculating resilience values using an Improved-TOPSIS method with stated formulas (including Ci as the TSESR value) and reports spatiotemporal results.
269,IN,The study quantitatively computes drought “resistance” and postdrought “recovery” (within a resilience framework) by normalizing GAM-predicted peak-drought and recovery values to baseline and analyzes their nonlinear relationship and thresholds via threshold regression.
109,OUT,"Although “reef resilience” is discussed conceptually, the quantitative analyses model bleaching susceptibility/resistance and coral growth dynamics without defining or computing a resilience metric/index as such."
227,IN,The study explicitly quantifies resilience by calculating oxic–anoxic and anoxic–oxic tipping point positions and effect sizes of trait variation on these tipping points as a resilience metric.
85,OUT,"Although “recovery resilience” is mentioned conceptually, the quantitative analyses model kelp cover as a function of temperature and sea urchins and do not define or compute any resilience metric/proxy as such."
230,IN,"The study explicitly quantifies ecosystem resilience using computed network efficiency and network eco-efficiency (NEE) under cascading-failure disturbance scenarios with defined equations (e.g., E and NEE) and reports resilience-related results (e.g., resilience increases when dryland increases by >20%)."
98,IN,"The Methods explicitly quantify ecosystem resilience (RI = 1-δ from an ARx model) and compute a stability index (ESI = RI/(1+VSI)) with reported resilience results (e.g., mean resilience 0.38)."
228,IN,The study explicitly quantifies reef resilience/recovery potential by computing a numeric Recovery Index (RI) using the TOPSIS method with stated equations (1–7) and reports RI results/rankings across sites.
254,OUT,"Although resilience is discussed conceptually, the quantitative analysis measures burn-severity landscape metrics and distance to seed source without explicitly defining or computing resilience (or a stated proxy) as an index/method with results."
6,IN,"The study explicitly quantifies resilience components (ANPP resistance, recovery, and long-term invariability) using stated mathematical formulas and analyzes their predictors and results."
